axis_id	axis_family	architecture_role	consistency_class	axis_annotation_confidence	n_targets	targets	fraction_q1_mean	fraction_q2_mean	fraction_q3_mean	shift_lift_mean	depmap_lift_mean	shift_r2_mean	depmap_r2_mean	sharedness_delta	explanatory_call	formal_call_eligible	call_tier	panel	bootstrap_replicates_completed	bootstrap_shift_r2_mean	bootstrap_shift_r2_p10	bootstrap_shift_r2_p90	bootstrap_dep_r2_mean	bootstrap_dep_r2_p10	bootstrap_dep_r2_p90	bootstrap_dominant_call	bootstrap_dominant_call_fraction	bootstrap_stability_call	structure_support	annotation_support	enrichment_hits	databases	final_call	object	evidence_tier	allowed_wording	disallowed_wording
chromatin remodeling	gene expression machinery	canonical_backbone	shared_dual_high	high	2.0	ARID1A; RUVBL2	0.5	0.0	0.0	0.0025538843549852	0.3596681136710968	0.0457102885494596	0.0516473950639248	-0.0059371065144651	mixed_or_low_signal_axis	True	formal	a																			
transcription regulation	gene expression machinery	context_deviation	heterogeneous	low	18.0	ETV3; GON4L; HLX; KLF3; MAML3; MIER1; MYBL1; PMF1; THAP8; TMF1; UBP1; VEZF1; ZBTB17; ZBTB20; ZBTB5; ZNF131; ZNF24; ZNF566	0.1666666666666666	0.0	0.0	-0.0002895890719978	-0.0524816399481384	0.0119799375335992	0.0172372187300257	-0.0052572811964264	mixed_or_low_signal_axis	True	formal	a																			
nuclear receptor / metabolism	signaling / growth control	context_deviation	shared_middle	low	2.0	RORC; THRA	0.0	0.0	0.0	-0.0013319429878878	-0.1216788926007566	0.0124717439812113	0.0067876650656432	0.005684078915568	mixed_or_low_signal_axis	True	formal	a																			
TGF-beta / BMP signaling	signaling / growth control	context_deviation	heterogeneous	medium	2.0	BMPR1A; SMAD1	0.0	0.0	0.0	-0.0010191563415874	-0.0791071369204745	0.0080398551381607	0.0028084397561723	0.0052314153819884	mixed_or_low_signal_axis	True	formal	a																			
proteostasis / chaperone	proteostasis	context_deviation	line_skewed	medium	1.0	PFDN5	1.0	0.0	0.0	0.0032163068676816	0.6701642225257974	0.0351846655998828	0.0871909235205539	-0.052006257920671	preliminary_dependency_heavy_axis	False	preliminary	a																			
ribosomal / translation	ribosome / nucleolar biogenesis	canonical_backbone	shared_dual_high	high	1.0	RPS3	1.0	0.0	0.0	0.00231690977132	0.7753167243832226	0.0237625515304477	0.1158481284956462	-0.0920855769651985	preliminary_dependency_heavy_axis	False	preliminary	a																			
RNA processing / transcription	RNA processing	context_deviation	shared_middle	high	1.0	YBX1	0.5	0.0	0.0	0.0012402696904646	0.7709901255108096	0.0053510116361707	0.1145923282065776	-0.1092413165704069	preliminary_dependency_heavy_axis	False	preliminary	a																			
ribosome biogenesis / nucleolar	ribosome / nucleolar biogenesis	context_deviation	shared_shift_excess	high	1.0	NPM1	0.5	0.0	0.0	0.0029675966818554	0.2842193142839105	0.0491582655306062	0.03923951613219	0.0099187493984161	preliminary_mixed_or_low_signal_axis	False	preliminary	a																			
nuclear receptor / co-activator	gene expression machinery	context_deviation	shared_middle	medium	1.0	NCOA1	0.0	0.0	0.0	-0.0023311268301936	-0.1892593719793967	0.0184880600067985	0.0068993829410221	0.0115886770657764	preliminary_mixed_or_low_signal_axis	False	preliminary	a																			
cytoskeleton / cell motility	cell-state regulation	context_deviation	shared_middle	high	1.0	TMSB4X	0.0	0.0	0.0	-0.0022176336274601	-0.1114561734143488	0.016785412811708	0.0041888263678804	0.0125965864438276	preliminary_mixed_or_low_signal_axis	False	preliminary	a																			
